"Exchange","Asset Class","Product Name","Product Code","Ratio","Side","Start Period","End Period","Single Period","Maintenance","Currency"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","07/2026
01/2027","07/2026
02/2027","","375.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","07/2026
03/2027","07/2026
04/2027","","425.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","07/2026
05/2027","07/2026
06/2027","","475.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","07/2026
07/2027","07/2026
07/2027","","500.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","07/2026
08/2027","07/2026
08/2027","","575.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","07/2026
09/2027","07/2026
09/2027","","675.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","07/2026
10/2027","07/2026
11/2027","","675.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","07/2026
12/2027","07/2026
12/2027","","725.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","07/2026
01/2028","07/2026
12/2029","","725.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","08/2026
09/2026","08/2026
09/2026","","125.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
2
1","A
B
A","08/2026
09/2026
10/2026","08/2026
09/2026
11/2026","","200.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","08/2026
10/2026","08/2026
11/2026","","200.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","08/2026
12/2026","08/2026
12/2026","","250.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","08/2026
01/2027","08/2026
02/2027","","300.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","08/2026
03/2027","08/2026
04/2027","","350.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","08/2026
05/2027","08/2026
06/2027","","375.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","08/2026
07/2027","08/2026
07/2027","","425.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","08/2026
08/2027","08/2026
08/2027","","450.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","08/2026
09/2027","08/2026
09/2027","","525.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","08/2026
10/2027","08/2026
11/2027","","650.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","08/2026
12/2027","08/2026
12/2027","","650.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","08/2026
01/2028","08/2026
12/2029","","675.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","09/2026
10/2026","09/2026
11/2026","","100.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
2
1","A
B
A","09/2026
10/2026
12/2026","09/2026
11/2026
12/2026","","200.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","09/2026
12/2026","09/2026
12/2026","","200.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","09/2026
01/2027","09/2026
02/2027","","250.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","09/2026
03/2027","09/2026
04/2027","","300.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","09/2026
05/2027","09/2026
06/2027","","325.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","09/2026
07/2027","09/2026
07/2027","","375.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","09/2026
08/2027","09/2026
08/2027","","425.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","09/2026
09/2027","09/2026
09/2027","","450.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","09/2026
10/2027","09/2026
11/2027","","500.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","09/2026
12/2027","09/2026
12/2027","","650.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","09/2026
01/2028","09/2026
12/2029","","650.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
2
1","A
B
A","10/2026
12/2026
01/2027","11/2026
12/2026
02/2027","","200.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","10/2026
12/2026","11/2026
12/2026","","100.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","10/2026
01/2027","11/2026
02/2027","","200.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","10/2026
03/2027","11/2026
04/2027","","250.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","10/2026
05/2027","11/2026
06/2027","","300.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","10/2026
07/2027","11/2026
07/2027","","325.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","10/2026
08/2027","11/2026
08/2027","","375.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","10/2026
09/2027","11/2026
09/2027","","425.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","10/2026
10/2027","11/2026
11/2027","","450.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","10/2026
12/2027","11/2026
12/2027","","500.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","10/2026
01/2028","11/2026
12/2029","","650.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
2
1","A
B
A","12/2026
01/2027
03/2027","12/2026
02/2027
04/2027","","200.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","12/2026
01/2027","12/2026
02/2027","","100.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","12/2026
03/2027","12/2026
04/2027","","200.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","12/2026
05/2027","12/2026
06/2027","","250.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","12/2026
07/2027","12/2026
07/2027","","300.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","12/2026
08/2027","12/2026
08/2027","","325.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","12/2026
09/2027","12/2026
09/2027","","375.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","12/2026
10/2027","12/2026
11/2027","","425.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","12/2026
12/2027","12/2026
12/2027","","450.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","12/2026
01/2028","12/2026
12/2029","","500.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","01/2027
03/2027","02/2027
04/2027","","100.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
2
1","A
B
A","01/2027
03/2027
05/2027","02/2027
04/2027
06/2027","","150.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","01/2027
05/2027","02/2027
06/2027","","200.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","01/2027
07/2027","02/2027
07/2027","","250.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","01/2027
08/2027","02/2027
08/2027","","300.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","01/2027
09/2027","02/2027
09/2027","","325.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","01/2027
10/2027","02/2027
11/2027","","375.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","01/2027
12/2027","02/2027
12/2027","","425.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","01/2027
01/2028","02/2027
12/2029","","450.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","03/2027
05/2027","04/2027
06/2027","","100.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
2
1","A
B
A","03/2027
05/2027
07/2027","04/2027
06/2027
07/2027","","150.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","03/2027
07/2027","04/2027
07/2027","","200.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","03/2027
08/2027","04/2027
08/2027","","250.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","03/2027
09/2027","04/2027
09/2027","","300.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","03/2027
10/2027","04/2027
11/2027","","325.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","03/2027
12/2027","04/2027
12/2027","","375.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","03/2027
01/2028","04/2027
12/2029","","425.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
2
1","A
B
A","05/2027
07/2027
08/2027","06/2027
07/2027
08/2027","","150.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","05/2027
07/2027","06/2027
07/2027","","100.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","05/2027
08/2027","06/2027
08/2027","","200.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","05/2027
09/2027","06/2027
09/2027","","250.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","05/2027
10/2027","06/2027
11/2027","","300.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","05/2027
12/2027","06/2027
12/2027","","325.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","05/2027
01/2028","06/2027
12/2029","","350.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","07/2027
08/2027","07/2027
08/2027","","100.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
2
1","A
B
A","07/2027
08/2027
09/2027","07/2027
08/2027
09/2027","","150.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","07/2027
09/2027","07/2027
09/2027","","175.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","07/2027
10/2027","07/2027
11/2027","","225.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","07/2027
12/2027","07/2027
12/2027","","275.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","07/2027
01/2028","07/2027
12/2029","","325.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","08/2027
09/2027","08/2027
09/2027","","100.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
2
1","A
B
A","08/2027
09/2027
10/2027","08/2027
09/2027
11/2027","","150.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","08/2027
10/2027","08/2027
11/2027","","175.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","08/2027
12/2027","08/2027
12/2027","","225.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","08/2027
01/2028","08/2027
12/2029","","275.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","09/2027
10/2027","09/2027
11/2027","","100.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
2
1","A
B
A","09/2027
10/2027
12/2027","09/2027
11/2027
12/2027","","150.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","09/2027
12/2027","09/2027
12/2027","","175.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","09/2027
01/2028","09/2027
12/2029","","225.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
2
1","A
B
A","10/2027
12/2027
01/2028","11/2027
12/2027
12/2029","","150.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","10/2027
12/2027","11/2027
12/2027","","100.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","10/2027
01/2028","11/2027
12/2029","","175.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","A
B","12/2027
01/2028","12/2027
12/2029","","100.00","USD"
"CBT","AGRICULTURE","SOYBEAN MEAL","06","1
1","B
A","01/2028
01/2028","12/2029
12/2029","","250.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","01/2026
05/2026","04/2026
06/2026","","550.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
2
1","A
B
A","01/2026
05/2026
07/2026","04/2026
06/2026
07/2026","","650.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","01/2026
07/2026","04/2026
07/2026","","575.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","01/2026
08/2026","04/2026
08/2026","","600.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","01/2026
09/2026","04/2026
09/2026","","600.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","01/2026
10/2026","04/2026
11/2026","","650.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","01/2026
12/2026","04/2026
12/2026","","650.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","01/2026
01/2027","04/2026
02/2027","","700.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","01/2026
03/2027","04/2026
04/2027","","725.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","01/2026
05/2027","04/2026
06/2027","","775.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","01/2026
07/2027","04/2026
12/2029","","850.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","05/2026
07/2026","06/2026
07/2026","","250.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
2
1","A
B
A","05/2026
07/2026
08/2026","06/2026
07/2026
08/2026","","300.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","05/2026
08/2026","06/2026
08/2026","","325.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","05/2026
09/2026","06/2026
09/2026","","350.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","05/2026
10/2026","06/2026
11/2026","","375.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","05/2026
12/2026","06/2026
12/2026","","450.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","05/2026
01/2027","06/2026
02/2027","","500.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","05/2026
03/2027","06/2026
04/2027","","575.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","05/2026
05/2027","06/2026
06/2027","","625.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","05/2026
07/2027","06/2026
12/2029","","700.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","07/2026
08/2026","07/2026
08/2026","","200.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
2
1","A
B
A","07/2026
08/2026
09/2026","07/2026
08/2026
09/2026","","200.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","07/2026
09/2026","07/2026
09/2026","","250.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","07/2026
10/2026","07/2026
11/2026","","300.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","07/2026
12/2026","07/2026
12/2026","","350.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","07/2026
01/2027","07/2026
02/2027","","450.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","07/2026
03/2027","07/2026
04/2027","","475.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","07/2026
05/2027","07/2026
06/2027","","500.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","07/2026
07/2027","07/2026
12/2029","","525.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","08/2026
09/2026","08/2026
09/2026","","150.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
2
1","A
B
A","08/2026
09/2026
10/2026","08/2026
09/2026
11/2026","","175.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","08/2026
10/2026","08/2026
11/2026","","200.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","08/2026
12/2026","08/2026
12/2026","","275.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","08/2026
01/2027","08/2026
02/2027","","350.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","08/2026
03/2027","08/2026
04/2027","","400.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","08/2026
05/2027","08/2026
06/2027","","425.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","08/2026
07/2027","08/2026
12/2029","","475.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","09/2026
10/2026","09/2026
11/2026","","125.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
2
1","A
B
A","09/2026
10/2026
12/2026","09/2026
11/2026
12/2026","","125.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","09/2026
12/2026","09/2026
12/2026","","175.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","09/2026
01/2027","09/2026
02/2027","","250.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","09/2026
03/2027","09/2026
04/2027","","350.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","09/2026
05/2027","09/2026
06/2027","","350.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","09/2026
07/2027","09/2026
12/2029","","400.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
2
1","A
B
A","10/2026
12/2026
01/2027","11/2026
12/2026
02/2027","","100.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","10/2026
12/2026","11/2026
12/2026","","100.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","10/2026
01/2027","11/2026
02/2027","","150.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","10/2026
03/2027","11/2026
04/2027","","250.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","10/2026
05/2027","11/2026
06/2027","","300.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","10/2026
07/2027","11/2026
12/2029","","350.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","12/2026
01/2027","12/2026
02/2027","","100.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
2
1","A
B
A","12/2026
01/2027
03/2027","12/2026
02/2027
04/2027","","100.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","12/2026
03/2027","12/2026
04/2027","","150.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","12/2026
05/2027","12/2026
06/2027","","225.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","12/2026
07/2027","12/2026
12/2029","","300.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","01/2027
03/2027","02/2027
04/2027","","100.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
2
1","A
B
A","01/2027
03/2027
05/2027","02/2027
04/2027
06/2027","","100.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","01/2027
05/2027","02/2027
06/2027","","150.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","01/2027
07/2027","02/2027
12/2029","","225.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","03/2027
05/2027","04/2027
06/2027","","100.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
2
1","A
B
A","03/2027
05/2027
07/2027","04/2027
06/2027
12/2029","","100.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","03/2027
07/2027","04/2027
12/2029","","150.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","A
B","05/2027
07/2027","06/2027
12/2029","","75.00","USD"
"CBT","AGRICULTURE","SOYBEAN OIL","07","1
1","B
A","07/2027
07/2027","12/2029
12/2029","","225.00","USD"
"CBT","AGRICULTURE","ROUGH RICE","14","1
1","A
B","01/2026
05/2026","03/2026
03/2027","","1250.00","USD"
"CBT","AGRICULTURE","ROUGH RICE","14","1
1","B
A","05/2026
05/2026","03/2027
03/2027","","700.00","USD"
"CBT","AGRICULTURE","BLOOMBERG COMMODITY INDEX FUTURES","70","1
1","B
A","03/2026
03/2026","12/2027
12/2027","","150.00","USD"
"CBT","AGRICULTURE","AUSTRALIAN WHEAT FOB (PLATTS) FUTURES","AUW","1
1","B
A","01/2026
01/2026","12/2026
12/2026","","750.00","USD"
"CBT","AGRICULTURE","BLOOMBERG COMMODITY INDEX FUTURES","AWI","1
1","B
A","03/2026
03/2026","12/2027
12/2027","","150.00","USD"
"CBT","AGRICULTURE","BLOOMBERG COMMODITY INDEX FUTURES","AWT","1
1","B
A","03/2026
03/2026","12/2027
12/2027","","150.00","USD"
"CBT","AGRICULTURE","BLOOMBERG COMMODITY AGRICULTURE SUBINDEX FUTURES","BAG","1
1","B
A","03/2026
03/2026","12/2027
12/2027","","400.00","USD"
"CBT","AGRICULTURE","BLOOMBERG COMMODITY AGRICULTURE SUBINDEX FUTURES","BAT","1
1","B
A","03/2026
03/2026","12/2027
12/2027","","400.00","USD"
